"id","text","type"
,"O madona koji hrvat je pa to ulivu...",1
,"Če bi naredili odlitek njenih možganov , verjetno ne bi blo kaj videt",1
,"Hrvaška depresija bi jst reku...",1
,"chillstep je tud vredu :D",1
,"Ampak Ljubljana je najlepše mesto na svetu, nje.",1
,"dol pa strokovna žirija s tablami 10,10,10",1
,"Zdej ne vem kdo je bolj prizadet, al gledalci ali une v čolnih....",1
,"Nas so učili, da moraš potrkat preden vstopiš.",1
,"Ojoj, kdo drug kot črnc...",-1
,"Super zdaj gre v zrak bolezni bodo.\n                  Ameriko, Ameriko ti si samo lažna nada to što ima Herceg-Bosna nema Teksas ni Kanada",1
,"lol sej prou, isto pr ns na avtobusnih postajah tut neb smel kadit, da morm js ta sranje udihavat, zato k more revčk raka nafutrat...",1
,"3x bl zanimiva oddaja kot katerakoli Slo. oddaja, kjer uporabijo že prežvečene fore, ki niso nikomr smešne",1
,"hahhaha ta petkov pjeb je pa legenda",1
,"Ona je absolventka 1. letnika meterologije",1
,"taki služijo na veliko...",1
,"hahah pa obadva ful ponosno ker sta v prvem zamahi not spravla :DD",1
,"Tole pa že ni Darude - Sandstorm",1
,"feci feci Torest",1
,"zanimiva povezava, ženskam je treba odvzet vozniško",-1
,"V tem video so tukrat omenl, da je čudn da teh ljudi ne bomo nikol več vidl. Mam filing, da jih bojo pospravl pa noben ne bo šou na mars. :D",1
,"Si predstavljate da ste druga violina na potovanju?    Pol je bolše, da si res zagrižen avstronavt, da ti pride na Mars",1
,"Dober večer,Delam v šolstvu kot učitelj razrednega pouka in poučujem otroke od petega do devetega razreda. Zgornji posnetek smo si v šoli ogledali z vsemi učenci, ki so na višji stopni šolanja(od 10 leta naprej) in sicer v okviru akcije: Recimo stop proteinom, ki jo je razpisalo ministrstvo za šolstvo, znanost in šport v mesecu marcu. Pri razredni uri smo nato učence prosili, naj v nekaj stavkih strnejo svoje misli in čustva, ki so jih prevzemala ob ogledu posnetka.Lovro (13 let) je zapisal ...  Ime mi je lovro in sem szat 13 let.V šoli smo si med glavnim odmrom ogledali filem,kjer moš brez las dviguje železne palice na njih pa so naložene gume.Že sama glazba na začetku mi je dala vedeti da bo to prava grozlivka.Zgledal je kot nindža želva donatelo iz filma tinejč mutant ninjas,ki sem ga gledal v koloseju nekaj dni nazaj.Po nogah je imel s flumastrom narisane neke čudne črne črke.Bilo me je strah in komaj sem čakal da je konec.Po koncu sem si rekel da ne bom šel NIKOLI V FITNES.Odziv otroka pove vse. Ljudje na položajih, spametujte se in prepovejte proteine. Raje legalizirajte Indijsko konopljo, od katere je vsekakor več koristi in dobre volje. Tudi nasilja in slabe volje bo posledično manj v šolah, učitelji pa bomo lahko šolske odmore namenili drugim problemom.Lp Samo",1
,"Dejstvo  da pri tej višini zakuca ni impresivno. Obramba je v mladinskih sekcijah za [censored], ker napad je tisto karte po navadi povleče iz množice. Torej bi lahko teoretično igral sam proti sebi, pa bi vedno dal koš, ker je pač v obrambi slab,isto kot večina igralcev njegove kategorije. V napadu pa spet ni pokazal drugega kot zgolj golo kucanje, 2 meta iz razdalje, nekaj polaganj. Nič footworka, igra s hrbtom, karkoli drugega... In temu se danes že reče virtuoz ? Ne vem po videu sodeč, razen višine in atletskih sposobnosti definitivno zelo limitiran igralec v razvoju.",1
,"Kdo kaj pravi o zlait lisici?Pravim samo da je tole primitivbno...",1
,"Tole je izjemno neuporabno, tako kot je rekel v videu, še bolj nevarno za policista.",1
,"Ne pozabt več ko daš masla, bol si debel ;)Priporočam v olju ocvrto maslo za tiste k se jim to zdi tak blazn fajn.",-1
,"To je tehnologija, pri 0:37 gre ena ladja kar po kopnem čez Jemen in nato direkt čez Eritrejo v Sudan :)",1
,"from libya, to all around the world",1
,"IRONforever blowing bubbles...! ni jih čez west ham-ove navijačeIgor E si to ti?",1
,"Kaj pa ce pride crnc iz milwalla?",-1
